"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"PRICOLLTD","Pricol Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and the Board may also consider the proposal for recommendation of Final Dividend on the equity shares of the Company for the Financial Year 2025-26 and fix the record date for the same.","14-May-2026"
"PRSMJOHNSN","Prism Johnson Limited","Financial Results/Fund Raising","To consider and approve the Audited Financial Results for the quarter and year ended March 31, 2026 and proposed Fund Raising","14-May-2026"
"RAJRILTD","Raj Rayon Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"RBA","Restaurant Brands Asia Limited","Financial Results","Restaurant Brands Asia Limited has informed the Exchange about Board Meeting to be held on 14-May-2026 to inter-alia consider and approve the Audited Standalone and Consolidated Financial results of the Company for the Quarter and Year ended on March 31, 2026.","14-May-2026"
"RBZJEWEL","RBZ Jewellers Limited","Financial Results/Other business matters","To consider and approve the Audited financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"RPTECH","Rashi Peripherals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend, if any","14-May-2026"
"SAILIFE","Sai Life Sciences Limited","Financial Results","To consider and approve the Audited Financial Results (Standalone & Consolidated) for the fourth quarter and year ended March 31, 2026","14-May-2026"
"SAREGAMA","Saregama India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"SARVESHWAR","Sarveshwar Foods Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","14-May-2026"
"SENORES","Senores Pharmaceuticals Limited","Financial Results/Other business matters","To consider and approve Audited Consolidated and Standalone Financial Results Of The Company For The Quarter And financial year Ended March 31, 2026 And To Transact Other Business Matters","14-May-2026"
"SETL","Standard Engineering Technology Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"SFL","Sheela Foam Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and final dividend","14-May-2026"
"SHADOWFAX","Shadowfax Technologies Limited","Financial Results","Shadowfax Technologies Limited has informed the Exchange about Board Meeting to be held on 14-May-2026 to inter-alia consider and approve the Audited Financial results (Standalone & Consolidated) for the quarter and year ended March 31, 2026","14-May-2026"
"SUNCLAY","Sundaram Clayton Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"TDPOWERSYS","TD Power Systems Limited","Stock Split","Proposal for alteration in the share capital of the Company by sub-division/split of existing equity shares.","14-May-2026"
"TDPOWERSYS","TD Power Systems Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommendation of dividend, if any, for the financial year ended March 31, 2026.","14-May-2026"
"TIMKEN","Timken India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"TMPV","Tata Motors Passenger Vehicles Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"TREL","Transindia Real Estate Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"TVSINVIT","TVS Infrastructure Trust","Financial Results/Other business matters","To consider and approve the financial results for the quarter and year ended March 31, 2026 inter alia other business matters.","14-May-2026"
"UNITDSPR","United Spirits Limited","Financial Results/Dividend","to consider and approve the audited financial results (Standalone and Consolidated) of the Company and recommend final dividend, if any, for the financial year ended 31st March 2026.","14-May-2026"
"UTLSOLAR","Fujiyama Power Systems Limited","Financial Results","To consider and approve the Audited financial results for the quarter and financial year ended March 31, 2026","14-May-2026"
"VALIANTLAB","Valiant Laboratories Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"VENKEYS","Venky's (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommendation of dividend.","14-May-2026"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"VMM","Vishal Mega Mart Limited","Financial Results","To consider and approve the financial results for the quarter and financial year ended March 31, 2026","14-May-2026"
"VOLTAS","Voltas Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"VRAJ","Vraj Iron and Steel Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"WANBURY","Wanbury Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"WELENT","Welspun Enterprises Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","14-May-2026"
"WSI","W S Industries (I) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"AARTIDRUGS","Aarti Drugs Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"AETHER","Aether Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"AFSL","Abans Financial Services Limited","Financial Results","To consider and approve Audited Financial Results (Standalone and Consolidated) of the Company for the quarter and year ended March 31, 2026.","15-May-2026"
"AIFL","Ashapura Intimates Fashion Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"AKI","AKI India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"AMBER","Amber Enterprises India Limited","Financial Results","Pursuant to Regulation 29 and other applicable provisions of the SEBI (LODR) Regulations, we wish to inform the exchange that a meeting of the Board of Directors of the Company is scheduled to be held on Friday, 15th May 2026, inter alia, to consider and approve the Audited Financial Results (Standalone and Consolidated) of the Company, for the quarter and financial year ended 31st March, 2026.","15-May-2026"
"APLLTD","Alembic Pharmaceuticals Limited","Financial Results/Dividend","To consider and approve the financial results for the period and financial year ended March 31, 2026 and dividend for the financial year ended March 31, 2026","15-May-2026"
"ARIHANTSUP","Arihant Superstructures Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"AROGRANITE","Aro Granite Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"ARVIND","Arvind Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"AUTOIND","Autoline Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters.","15-May-2026"
"AZAD","Azad Engineering Limited","Financial Results","To consider and approve the financial results for the quarter and financial year ended March 31, 2026.","15-May-2026"
"BAIDFIN","Baid Finserv Limited","Financial Results","To consider and approve the Audited Financial Results of the Company for the Quarter and Year ended on March 31, 2026 together with the Statement of Assets and Liabilities as on that date and Statement of Cash Flows for the Financial Year ended on March 31, 2026 and to take on record Auditor s report thereon.","15-May-2026"
"BAJAJELEC","Bajaj Electricals Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","15-May-2026"
"BALMLAWRIE","Balmer Lawrie & Company Limited","Financial Results/Dividend/Buyback/Other business matters","Intimation of Board Meeting inter-alia, for:i. Consideration of Audited Financial Results (both Standalone and Consolidated) for the Fourth Quarter and Financial Year ended on 31st March, 2026;ii. Recommendation of Final Dividend, if any, on the Equity Shares of the Company for the Financial Year ended on 31st March, 2026;iii. Analysis/Deliberation regarding Buy back of shares, Issue of Bonus Shares and Splitting of Shares in light of evaluation of Consolidated Guidelines on general principles and mechanism for Capital Restructuring of CPSEs issued by Ministry of Finance, Department of Investment & Public Asset Management (DIPAM)","15-May-2026"
"BALMLAWRIE","Balmer Lawrie & Company Limited","Bonus","Intimation of Board Meeting inter-alia, for:i. Consideration of Audited Financial Results (both Standalone and Consolidated) for the Fourth Quarter and Financial Year ended on 31st March, 2026;ii. Recommendation of Final Dividend, if any, on the Equity Shares of the Company for the Financial Year ended on 31st March, 2026;iii. Analysis/Deliberation regarding Buy back of shares, Issue of Bonus Shares and Splitting of Shares in light of evaluation of Consolidated Guidelines on general principles and mechanism for Capital Restructuring of CPSEs issued by Ministry of Finance, Department of Investment & Public Asset Management (DIPAM)","15-May-2026"
"BALRAMCHIN","Balrampur Chini Mills Limited","Financial Results","To consider and approve the Audited Financial Results (Standalone and Consolidated) for the Quarter and Year Ended March 31, 2026","15-May-2026"
"CHEMBOND","Chembond Material Technologies Limited","Financial Results/Dividend","Intimation of Meeting of Board of Directors of the Company pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.","15-May-2026"
"CINELINE","Cineline India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"COCHINSHIP","Cochin Shipyard Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"CUBEXTUB","Cubex Tubings Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"CUBEXTUB","Cubex Tubings Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"CUPID","Cupid Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"DAMODARIND","Damodar Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"DCMNVL","DCM Nouvelle Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"DEEPAKNTR","Deepak Nitrite Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"DEVYANI","Devyani International Limited","Financial Results/Other business matters","To consider and approve the financial results for the Quarter and Financial Year ended March 31, 2026 and other business matters","15-May-2026"
"DMCC","DMCC SPECIALITY CHEMICALS LIMITED","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"EMKAY","Emkay Global Financial Services Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"ENIL","Entertainment Network (India) Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"FCL","Fineotex Chemical Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"FUSION","Fusion Finance Limited","Financial Results/Other business matters","To consider and approve the financial results for the quarter and financial year ended March 31, 2026.","15-May-2026"
"GANGOTRI","Gangotri Textiles Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"GICHSGFIN","GIC Housing Finance Limited","Financial Results/Dividend/Fund Raising/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend, Fund Raising and other business matters","15-May-2026"
"GLAND","Gland Pharma Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"GODFRYPHLP","Godfrey Phillips India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"GODREJIND","Godrej Industries Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, Fund Raising and other business matters","15-May-2026"
"GOKULAGRO","Gokul Agro Resources Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"GPIL","Godawari Power And Ispat limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"GREENPANEL","Greenpanel Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"HINDCOPPER","Hindustan Copper Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","15-May-2026"
"IMAGICAA","Imagicaaworld Entertainment Limited","Financial Results","To consider and approve the Standalone and Consolidated Financial Results of the Company for the quarter and year ended March 31, 2026","15-May-2026"
"INA","Insolation Energy Limited","Other business matters","To consider other business matters","15-May-2026"
"IRIS","IRIS RegTech Solutions Limited","Financial Results","To consider and approve the audited standalone and consolidated financial results for the period ended March 31, 2026.","15-May-2026"
"ITCHOTELS","ITC Hotels Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommend the final dividend","15-May-2026"
"JISLDVREQS","Jain Irrigation Systems Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"JISLJALEQS","Jain Irrigation Systems Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"JLHL","Jupiter Life Line Hospitals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"KILITCH","Kilitch Drugs (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"KIMS","Krishna Institute of Medical Sciences Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"KOKUYOCMLN","Kokuyo Camlin Limited","Financial Results/Dividend","To consider and approve the financial results for the fourth quarter and financial year ended on March 31, 2026 and recommendation of dividend, if any.","15-May-2026"
"MODIS","Modis Navnirman Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"MPSLTD","MPS Limited","Financial Results/Dividend/Other business matters","The meeting of the Board of Directors of the Company is scheduled on 15/05/2026, inter alia, to consider and approve the Audited Financial Results (Standalone & Consolidated) of the Company for the Fourth Quarter (Q4) and Financial Year ended 31 March 2026, and the recommendation of Final Dividend (if any).","15-May-2026"
"MWL","Mangalam Worldwide Limited","Stock Split/Other business matters","We would like to inform you that the Meeting of Board of Directors of the Company will be held on Friday, May 15, 2026, to consider stock split of equity shares and other business matters.","15-May-2026"
"NAVA","NAVA LIMITED","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"NCC","NCC Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"NHPC","NHPC Limited","Financial Results/Dividend/Fund Raising","To consider the financial results for the quarter and year ended March 31, 2026, recommendation of final dividend, if any, for FY 2025-26, and perusal of KID (Fund Raising)","15-May-2026"
"NIPPOBATRY","Indo-National Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"NOIDATOLL","Noida Toll Bridge Company Limited","Financial Results","To consider and approve the audited financial results for the quarter / year ended March 31, 2026","15-May-2026"
"OMAXE","Omaxe Limited","Financial Results/Other business matters","To consider and approve the Financial Results (Standalone & Consolidated) for the quarter and financial year ended on March 31, 2026 and other business matters","15-May-2026"
"PALASHSECU","Palash Securities Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","15-May-2026"
"PDSL","PDS Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"POWERGRID","Power Grid Corporation of India Limited","Financial Results/Dividend","POWERGRID : 15-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 16, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 15, 2026, To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"PREMIERENE","Premier Energies Limited","Fund Raising","In continuation to our earlier intimation dated May 07, 2026, the Board of Directors shall also consider and approve the proposal of raising of funds.","15-May-2026"
"PREMIERENE","Premier Energies Limited","Financial Results/Other business matters","To consider and approve the audited financial results for the quarter and year ended March 31, 2026 and other business matters","15-May-2026"
"RANEHOLDIN","Rane Holdings Limited","Financial Results","RANE HOLDINGS LTD. has informed NSE that the meeting of the Board of Directors of the Company is scheduled on May 15, 2026, inter alia, to consider and approve the Audited Financial Results for the quarter and year ending March 31, 2026. Further, in accordance with Rane's Insider code, the 'Trading window' would remain closed for Promoters, Directors, other connected persons and designated employees of the company from March 31, 2026 to May 17, 2026 (both days inclusive) for the above purpose.","15-May-2026"
"RATNAMANI","Ratnamani Metals & Tubes Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"SANATHAN","Sanathan Textiles Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"SHEKHAWATI","Shekhawati Industries Limited","Other business matters","To consider other business matters","15-May-2026"
"SHK","S H Kelkar and Company Limited","Financial Results","Notice of Board Meeting to consider Audited Standalone and Consolidated Financial Results for the quarter and financial year ended March 31, 2026","15-May-2026"
"SINTERCOM","Sintercom India Limited","Financial Results","To consider and approve the financial results for the quarter and year ended March 31, 2026","15-May-2026"
"SJVN","SJVN Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"SOLARA","Solara Active Pharma Sciences Limited","Financial Results","Solara Active Pharma Sciences Limited has informed the exchange that the meeting of the Board of Directors of the Company is scheduled to be held on May 15, 2026, inter alia, to consider and approve the audited standalone and consolidated financial results of the Company for the quarter and year ended on March 31, 2026","15-May-2026"
"SOLARINDS","Solar Industries India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"SOMANYCERA","Somany Ceramics Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"STERTOOLS","Sterling Tools Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"SUPREME","Supreme Holdings & Hospitality (India) Limited","Financial Results","Supreme Holdings & Hospitality (India) Limited has informed the Exchange that the meeting of the Board of Directors of the Company is scheduled on May 15, 2026 ,inter alia, to consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the Quarter and Financial Year ending on March 31, 2026, and to take on record the Reports of the Auditors thereon.","15-May-2026"
"SYMPHONY","Symphony Limited","Financial Results/Dividend","Board Meeting Intimation inter alia, to consider and approve: 1. Audited Standalone and Consolidated Financial Results for the fourth quarter and financial year ended on March 31, 2026; and 2. Recommend final dividend on equity shares, if any, for the financial year 2025-26","15-May-2026"
"TATASTEEL","Tata Steel Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","15-May-2026"
"THANGAMAYL","Thangamayil Jewellery Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"TREEHOUSE","Tree House Education & Accessories Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"TRIVENI","Triveni Engineering & Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"TVTODAY","TV Today Network Limited","Financial Results/Dividend","To consider and approve the audited standalone and consolidated financial results for the fourth quarter and financial year ending on March 31, 2026 and recommend the payment of final dividend, if any, for the Financial Year 2025-26.","15-May-2026"
"UTTAMSUGAR","Uttam Sugar Mills Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"VIPIND","VIP Industries Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and year ended March 31, 2026","15-May-2026"
"VSTTILLERS","V.S.T Tillers Tractors Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","15-May-2026"
"WELSPUNLIV","Welspun Living Limited","Financial Results/Dividend/Buyback","To consider and approve the financial results for the period ended March 31, 2026, recommendation of dividend, if any and proposal for Buyback of fully paid Equity Shares of the Company.","15-May-2026"
"WEWIN","WE WIN LIMITED","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"WHEELS","Wheels India Limited","Financial Results/Dividend","To consider and approve the audited financial results for the period ended March 31, 2026 and declaration of final dividend if any","15-May-2026"
"ZUARI","Zuari Agro Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","15-May-2026"
"3PLAND","3P Land Holdings Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"AARON","Aaron Industries Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","16-May-2026"
"ANMOL","Anmol India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"ATULAUTO","Atul Auto Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"BHARATWIRE","Bharat Wire Ropes Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"CHEMBONDCH","Chembond Chemicals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend if any","16-May-2026"
"DELHIVERY","Delhivery Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and financial year ended March 31, 2026","16-May-2026"
"DHARSUGAR","Dharani Sugars & Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"DODLA","Dodla Dairy Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"EPACKPEB","EPack Prefab Technologies Limited","Financial Results","To consider and approve the Financial Statements/ Results (Standalone and Consolidated) of the Company for the Quarter and Financial year ended March 31, 2026 and Auditors report thereon","16-May-2026"
"GENUSPOWER","Genus Power Infrastructures Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"INDTERRAIN","Indian Terrain Fashions Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","16-May-2026"
"KEC","KEC International Limited","Financial Results/Dividend","To consider and approve the financial results for the year ended March 31, 2026 and recommend dividend, if any.","16-May-2026"
"LGHL","Laxmi Goldorna House Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","16-May-2026"
"MAITHANALL","Maithan Alloys Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"MANGLMCEM","Mangalam Cement Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"OSWALPUMPS","Oswal Pumps Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"POWERGRID","Power Grid Corporation of India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"PRECOT","Precot Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","16-May-2026"
"ROLEXRINGS","Rolex Rings Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"SOLEX","Solex Energy Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","16-May-2026"
"SPORTKING","Sportking India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","16-May-2026"
"STYRENIX","Styrenix Performance Materials Limited","Financial Results","To consider and approve Audited Standalone and Consolidated Financial Results for thefourth quarter and for the Financial Year ended on March 31, 2026.","16-May-2026"
"TATVA","Tatva Chintan Pharma Chem Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend, if any.","16-May-2026"
"UNOMINDA","UNO Minda Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","16-May-2026"
"63MOONS","63 moons technologies limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"AARTIPHARM","Aarti Pharmalabs Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"APOLLO","Apollo Micro Systems Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"ARVEE","Arvee Laboratories (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","18-May-2026"
"ASALCBR","Associated Alcohols & Breweries Ltd.","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"ASTRAL","Astral Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and Recommendation Of Final Dividend, If Any","18-May-2026"
"ATLANTAA","ATLANTAA LIMITED","Financial Results","To consider and approve the standalone & consolidated financial results alongwith the Auditors Report for the quarter & year ended on March 31, 2026","18-May-2026"
"BLAL","BEML Land Assets Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","18-May-2026"
"DIGITIDE","Digitide Solutions Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","18-May-2026"
"DRCSYSTEMS","DRC Systems India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","18-May-2026"
"ELECTCAST","Electrosteel Castings Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"GPTHEALTH","GPT Healthcare Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"GVT&D","GE Vernova T&D India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","18-May-2026"
"HLEGLAS","HLE Glascoat Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend on equity shares, if any.","18-May-2026"
"IGL","Indraprastha Gas Limited","Financial Results/Dividend","Board Meeting originally scheduled on 07/05/2026 has been rescheduled to 18/05/2026, to consider and approve standalone and consolidated Audited Financial Results for the quarter/year ended March 31, 2026 and also to consider recommendation of final dividend for the Financial year 2025-26.","18-May-2026"
"IOC","Indian Oil Corporation Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"JKPAPER","JK Paper Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"JSWCEMENT","JSW Cement Limited","Financial Results","JSW Cement Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 18/05/2026 ,inter alia, to consider and approve Pursuant to Regulation 29 of Listing Regulations and other applicable provisions, if any, we wish to inform you that Meeting of the Board of Directors of the Company is scheduled to be held on Monday, 18th May, 2026, to inter-alia, consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the Quarter and Year ended 31st March, 2026.","18-May-2026"
"KAMDHENU","Kamdhenu Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"KMSUGAR","K.M.Sugar Mills Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","18-May-2026"
"KUNDANMM","Kundan Minerals and Metals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","18-May-2026"
"MANBA","Manba Finance Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","18-May-2026"
"MONTECARLO","Monte Carlo Fashions Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"NELCAST","Nelcast Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"ONMOBILE","OnMobile Global Limited","Financial Results","Onmobile Global Ltd has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 18/05/2026,inter alia, to consider and approve the Audited financial results of the Company for the  year ended March 31, 2026, under Regulation 29(1) Of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","18-May-2026"
"SBCL","Shivalik Bimetal Controls Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
